name,planet_type,detection_method,discovery_year,year_class,mass_jup,rayon_jup,orbital_radius,orbital_period,eccentricity,distance,luminosité
HD 26161 b,Gas Giant,Radial Velocity,2021,After 2020,13.5,1.1,20.4,87.7,0.82,133.0,6.89333
HD 2638 b,Gas Giant,Radial Velocity,2005,Before 2010,0.42,1.28,0.04,0.009308693,0.0,179.0,9.44
HD 2685 b,Gas Giant,Transit,2019,2010–2020,1.17,1.44,0.0568,0.011225188,0.09,642.0,9.595
HD 27442 b,Gas Giant,Radial Velocity,2000,Before 2010,1.56,1.21,1.271,1.172074,0.06,60.0,4.44
HD 27631 b,Gas Giant,Radial Velocity,2012,2010–2020,1.494,1.21,3.242,6.0,0.14,164.0,8.26
HD 27894 b,Gas Giant,Radial Velocity,2005,Before 2010,0.61939,1.26,0.125367,0.049281314,0.05,143.0,9.36
HD 27894 c,Gas Giant,Radial Velocity,2017,2010–2020,0.162,0.735,0.198,0.09883641,0.02,143.0,9.36
HD 27894 d,Gas Giant,Radial Velocity,2017,2010–2020,6.78167,1.13,5.359964,13.8,0.34,143.0,9.36
HD 27969 b,Gas Giant,Radial Velocity,2021,After 2020,4.8,1.15,1.552,1.8,0.18,222.0,7.66
HD 28109 b,Super Earth,Transit,2022,After 2020,0.0582624,0.1961508,0.1357,0.062696785,0.3307,455.0,9.42
HD 28109 c,Neptune-like,Transit,2022,After 2020,0.02502045,0.377,0.308,0.15331964,0.1203,455.0,9.42
HD 28109 d,Neptune-like,Transit,2022,After 2020,0.01789515,0.29,0.411,0.23080082,0.0864,455.0,9.42
HD 28185 b,Gas Giant,Radial Velocity,2001,Before 2010,5.83181,1.14,1.034659,1.0554415,0.05,128.0,7.8
HD 28185 c,Gas Giant,Radial Velocity,2022,After 2020,19.58437,01.08,13.109497,47.7,0.12,128.0,7.8
HD 28192 b,Gas Giant,Radial Velocity,2022,After 2020,0.31091,01.08,0.117885,0.03887748,0.1,162.0,08.06
HD 28254 b,Gas Giant,Radial Velocity,2010,2010–2020,1.16,1.22,2.15,3.1,0.81,180.0,7.69
HD 285507 b,Gas Giant,Radial Velocity,2013,2010–2020,0.98,1.23,0.06,0.01670089,0.09,147.0,10.49
HD 285968 b,Neptune-like,Radial Velocity,2008,Before 2010,0.02646,0.253,0.066,0.024093088,0.0,31.0,9.95
HD 28678 b,Gas Giant,Radial Velocity,2011,2010–2020,1.542,1.21,1.18,1.0409309,0.15,619.0,8.38
HD 29021 b,Gas Giant,Radial Velocity,2017,2010–2020,4.47,1.15,2.28,3.7,0.46,101.0,7.76
HD 290327 b,Gas Giant,Radial Velocity,2009,Before 2010,2.43,1.18,3.43,6.7,0.08,184.0,8.99
HD 29399 b,Gas Giant,Radial Velocity,2022,After 2020,1.57,1.21,1.913,2.4,0.05,144.0,5.79
HD 2952 b,Gas Giant,Radial Velocity,2013,2010–2020,1.37,1.21,1.23,0.8531143,0.13,359.0,5.9258
HD 29985 b,Gas Giant,Radial Velocity,2022,After 2020,5.91997,1.14,13.283797,56.5,0.26,102.0,9.98
HD 30177 b,Gas Giant,Radial Velocity,2002,Before 2010,8.68799,1.12,3.603011,6.9,0.21,181.0,8.41
HD 30177 c,Gas Giant,Radial Velocity,2016,2010–2020,6.5587,1.13,10.273072,33.1,0.04,181.0,8.41
HD 30562 b,Gas Giant,Radial Velocity,2009,Before 2010,1.22,1.22,2.34,3.2,0.76,85.0,5.77466
HD 30669 b,Gas Giant,Radial Velocity,2014,2010–2020,0.47,1.27,2.69,4.6,0.18,189.0,9.12
HD 30856 b,Gas Giant,Radial Velocity,2011,2010–2020,1.547,1.21,1.85,2.3,0.06,428.0,7.91
HD 31253 b,Gas Giant,Radial Velocity,2010,2010–2020,0.62,1.26,1.26,1.2758385,0.3,190.0,7.13266
HD 31527 b,Neptune-like,Radial Velocity,2019,2010–2020,0.0329805,0.288,0.1254,0.045448326,0.1,125.0,7.49
HD 31527 c,Neptune-like,Radial Velocity,2019,2010–2020,0.044604,0.343,0.2663,0.14017797,0.04,125.0,7.49
HD 31527 d,Neptune-like,Radial Velocity,2019,2010–2020,0.037233,0.309,0.8098,0.7438741,0.24,125.0,7.49
HD 3167 b,Super Earth,Transit,2016,2010–2020,0.014899500000000001,0.1451284,0.01802,0.0027378509,0.1,154.0,8.97
HD 3167 c,Neptune-like,Transit,2016,2010–2020,0.0336105,0.261,0.1783,0.08158795,0.15,154.0,8.97
HD 3167 d,Super Earth,Radial Velocity,2017,2010–2020,0.0158445,0.18642799999999998,0.07703,0.023271732,0.44,154.0,8.97
HD 3167 e,Neptune-like,Radial Velocity,2022,After 2020,0.030681,0.276,0.4048,0.27953455,0.6,154.0,8.97
HD 32518 b,Gas Giant,Radial Velocity,2009,Before 2010,03.04,1.17,0.59,0.4312115,0.01,398.0,6.43005
HD 32963 b,Gas Giant,Radial Velocity,2015,2010–2020,0.7,1.25,3.41,6.5,0.07,124.0,7.6
HD 330075 b,Gas Giant,Radial Velocity,2004,Before 2010,0.48,1.27,0.04,0.009308693,0.0,148.0,9.36
HD 331093 b,Gas Giant,Radial Velocity,2021,After 2020,1.5,1.21,1.44,1.7,0.59,164.0,8.38
HD 33142 b,Gas Giant,Radial Velocity,2011,2010–2020,1.26,1.22,1.074,0.9034908,0.05,396.0,7.96
HD 33142 c,Gas Giant,Radial Velocity,2018,2010–2020,0.89,1.24,1.955,2.2,0.08,396.0,7.96
HD 33142 d,Gas Giant,Radial Velocity,2022,After 2020,0.2,0.832,0.452,0.24613279,0.19,396.0,7.96
HD 332231 b,Gas Giant,Transit,2020,2010–2020,0.244,0.867,0.1436,0.051197812,0.03,263.0,8.558
HD 33283 b,Gas Giant,Radial Velocity,2006,Before 2010,0.329,1.12,0.1508,0.049828887,0.4,293.0,08.05
HD 33564 b,Gas Giant,Radial Velocity,2005,Before 2010,9.1,1.12,1.1,1.0622861,0.34,68.0,5.10111
HD 33844 b,Gas Giant,Radial Velocity,2015,2010–2020,02.01,1.19,1.6,1.5,0.15,345.0,7.29
HD 33844 c,Gas Giant,Radial Velocity,2015,2010–2020,1.75,1.2,2.24,2.5,0.13,345.0,7.29
HD 34445 b,Gas Giant,Radial Velocity,2009,Before 2010,0.82,1.24,02.07,2.9,0.27,150.0,7.31
HD 34445 c,Gas Giant,Radial Velocity,2017,2010–2020,0.168,0.752,0.7181,0.58781654,0.04,150.0,7.31
HD 34445 d,Neptune-like,Radial Velocity,2017,2010–2020,0.096705,0.542,0.4817,0.32279262,0.03,150.0,7.31
HD 34445 e,Neptune-like,Radial Velocity,2017,2010–2020,0.05292,0.38,0.2687,0.13470227,0.09,150.0,7.31
HD 34445 f,Neptune-like,Radial Velocity,2017,2010–2020,0.11938499999999999,0.613,1.543,1.9,0.03,150.0,7.31
HD 34445 g,Gas Giant,Radial Velocity,2017,2010–2020,0.38,1.21,6.36,15.6,0.03,150.0,7.31
HD 35759 b,Gas Giant,Radial Velocity,2016,2010–2020,3.76,1.16,0.389,0.2258727,0.39,232.0,7.74
HD 360 b,Gas Giant,Radial Velocity,2021,After 2020,0.75,1.25,0.98,0.74770707,0.14,364.0,5.986
HD 3651 b,Gas Giant,Radial Velocity,2003,Before 2010,0.228,0.899,0.295,0.17056811,0.65,36.0,5.88437
HD 37124 b,Gas Giant,Radial Velocity,2002,Before 2010,0.675,1.25,0.53364,0.42272416,0.05,103.0,7.68
HD 37124 c,Gas Giant,Radial Velocity,2002,Before 2010,0.652,1.25,1.71,2.4,0.13,103.0,7.68
HD 37124 d,Gas Giant,Radial Velocity,2005,Before 2010,0.696,1.25,2.807,5.1,0.16,103.0,7.68
HD 37605 b,Gas Giant,Radial Velocity,2004,Before 2010,2.69,1.18,0.277,0.15058179,0.67,153.0,8.67
HD 37605 c,Gas Giant,Radial Velocity,2012,2010–2020,3.19,1.17,3.74,7.5,0.03,153.0,8.67
HD 3765 b,Gas Giant,Radial Velocity,2021,After 2020,0.173,0.764,2.108,3.3,0.3,58.0,7.36
HD 38283 b,Gas Giant,Radial Velocity,2010,2010–2020,0.4,1.25,01.02,0.99438745,0.41,124.0,6.69
HD 38529 b,Gas Giant,Radial Velocity,2000,Before 2010,0.64923,1.25,0.114551,0.039151266,0.26,138.0,5.92848
HD 38529 c,Gas Giant,Radial Velocity,2000,Before 2010,10.44736,1.11,3.224617,5.8,0.36,138.0,5.92848
HD 38801 b,Gas Giant,Radial Velocity,2009,Before 2010,9.698,1.11,1.623,1.9,0.02,298.0,8.26
HD 39091 b,Gas Giant,Radial Velocity,2001,Before 2010,12.23926,1.1,3.309065,5.7,0.64,60.0,5.65
HD 39194 b,Super Earth,Radial Velocity,2021,After 2020,0.0126,0.16323600000000002,0.056,0.015331964,0.207,86.0,08.09
HD 39194 c,Neptune-like,Radial Velocity,2021,After 2020,0.019844999999999998,0.213,0.103,0.03832991,0.154,86.0,08.09
HD 39194 d,Super Earth,Radial Velocity,2021,After 2020,0.0126,0.16323600000000002,0.185,0.09281315,0.333,86.0,08.09
HD 39855 b,Neptune-like,Radial Velocity,2019,2010–2020,0.026775,0.254,0.041,0.008761123,0.14,76.0,7.51
HD 40307 b,Super Earth,Radial Velocity,2009,Before 2010,0.0126,0.16323600000000002,0.0468,0.011772759,0.2,42.0,7.17
HD 40307 c,Neptune-like,Radial Velocity,2009,Before 2010,0.02079,0.219,0.0799,0.026283368,0.06,42.0,7.17
HD 40307 d,Neptune-like,Radial Velocity,2009,Before 2010,0.029925,0.272,0.1321,0.055852156,0.07,42.0,7.17
HD 40307 f,Neptune-like,Radial Velocity,2013,2010–2020,0.016380000000000002,0.189996,0.247,0.14182067,0.02,42.0,7.17
HD 40307 g,Neptune-like,Radial Velocity,2013,2010–2020,0.022365,0.229,0.6,0.5415469,0.29,42.0,7.17
HD 40956 b,Gas Giant,Radial Velocity,2017,2010–2020,2.7,1.18,1.4,1.6,0.24,380.0,6.42794
HD 40979 b,Gas Giant,Radial Velocity,2002,Before 2010,4.67,1.15,0.85,0.7230664,0.25,111.0,6.75512
HD 4113 b,Gas Giant,Radial Velocity,2007,Before 2010,1.70781,1.2,1.28031,1.4,0.9,137.0,7.88
HD 42012 b,Gas Giant,Radial Velocity,2017,2010–2020,1.6,1.21,1.67,2.3,0.2,120.0,8.44
HD 4203 b,Gas Giant,Radial Velocity,2001,Before 2010,2.23,1.19,1.17,1.1824777,0.52,265.0,8.7
HD 4203 c,Gas Giant,Radial Velocity,2014,2010–2020,2.17,1.19,6.95,18.4,0.24,265.0,8.7
HD 4208 b,Gas Giant,Radial Velocity,2001,Before 2010,0.81,1.24,1.662,2.3,0.04,112.0,7.783
HD 42618 b,Neptune-like,Radial Velocity,2016,2010–2020,0.045360000000000004,0.347,0.554,0.4095825,0.19,79.0,6.87
HD 4308 b,Neptune-like,Radial Velocity,2005,Before 2010,0.050058225000000005,0.368,0.12,0.042710472,0.0,72.0,6.55
HD 4313 b,Gas Giant,Radial Velocity,2009,Before 2010,1.927,1.2,1.157,0.97522247,0.15,445.0,7.83
HD 43197 b,Gas Giant,Radial Velocity,2010,2010–2020,0.55388,1.26,0.881867,0.8457221,0.74,204.0,8.98
HD 43197 c,Gas Giant,Radial Velocity,2022,After 2020,7.80042,1.12,8.556456,25.5,0.15,204.0,8.98
HD 43691 b,Gas Giant,Radial Velocity,2007,Before 2010,2.55,1.18,0.238,0.10130048,0.08,279.0,08.03
HD 44219 b,Gas Giant,Radial Velocity,2010,2010–2020,0.58,1.26,1.19,1.2930869,0.61,173.0,7.69
HD 45184 b,Neptune-like,Radial Velocity,2019,2010–2020,0.0383985,0.314,0.0644,0.01615332,0.07,72.0,6.383
HD 45184 c,Neptune-like,Radial Velocity,2019,2010–2020,0.027751500000000002,0.26,0.11,0.035865847,0.07,72.0,6.383
HD 45350 b,Gas Giant,Radial Velocity,2004,Before 2010,1.79,1.2,1.92,2.6,0.78,153.0,7.89
HD 45364 b,Gas Giant,Radial Velocity,2008,Before 2010,0.1893,0.805,0.6793,0.61820674,0.07,112.0,08.08
HD 45364 c,Gas Giant,Radial Velocity,2008,Before 2010,0.549,1.26,0.902,0.9456536,0.02,112.0,08.08
HD 45652 b,Gas Giant,Radial Velocity,2008,Before 2010,0.433,1.28,0.237,0.120739214,0.61,114.0,8.1
HD 457 b,Gas Giant,Radial Velocity,2022,After 2020,23.8334,01.07,15.443431,55.7,0.57,180.0,7.72
HD 46375 b,Gas Giant,Radial Velocity,2000,Before 2010,0.226,0.894,0.0398,0.008213553,0.06,96.0,7.91
HD 47186 b,Neptune-like,Radial Velocity,2008,Before 2010,0.070081515,0.448,0.05,0.011225188,0.04,122.0,7.63
HD 47186 c,Gas Giant,Radial Velocity,2008,Before 2010,0.35061,1.16,2.395,3.7,0.25,122.0,7.63
HD 4732 b,Gas Giant,Radial Velocity,2012,2010–2020,2.37,1.19,1.19,0.98617387,0.13,179.0,5.9
HD 4732 c,Gas Giant,Radial Velocity,2012,2010–2020,2.37,1.19,4.6,7.5,0.23,179.0,5.9
HD 47366 b,Gas Giant,Radial Velocity,2016,2010–2020,2.3,1.19,1.28,0.98343605,0.06,275.0,6.11151
HD 47366 c,Gas Giant,Radial Velocity,2016,2010–2020,1.88,1.2,1.97,1.9,0.1,275.0,6.11151
HD 47536 b,Gas Giant,Radial Velocity,2002,Before 2010,7.32,1.13,1.93,2.0,0.2,400.0,5.25
HD 4760 b,Gas Giant,Radial Velocity,2021,After 2020,13.9,1.1,1.14,1.1882273,0.23,1755.0,7.51
HD 48265 b,Gas Giant,Radial Velocity,2008,Before 2010,1.525,1.21,1.814,2.1,0.21,295.0,08.05
HD 4917 b,Gas Giant,Radial Velocity,2018,2010–2020,1.615,1.21,1.167,1.0965092,0.07,666.0,08.03
HD 49674 b,Neptune-like,Radial Velocity,2002,Before 2010,0.10011645000000001,0.553,0.06,0.013415469,0.09,140.0,8.1
HD 50499 b,Gas Giant,Radial Velocity,2005,Before 2010,1.636,1.2,3.833,6.7,0.27,151.0,7.21
HD 50499 c,Gas Giant,Radial Velocity,2019,2010–2020,2.93,1.17,09.02,23.6,0.0,151.0,7.21
HD 50554 b,Gas Giant,Radial Velocity,2002,Before 2010,4.954,1.15,2.353,3.5,0.5,102.0,6.8561
HD 51608 b,Neptune-like,Radial Velocity,2019,2010–2020,0.0402255,0.323,0.1059,0.038603697,0.09,114.0,8.17
HD 51608 c,Neptune-like,Radial Velocity,2019,2010–2020,0.0450765,0.346,0.3809,0.2625599,0.14,114.0,8.17
HD 52265 b,Gas Giant,Radial Velocity,2000,Before 2010,1.21,1.22,0.52,0.32662562,0.27,98.0,6.29351
HD 5278 b,Neptune-like,Transit,2021,After 2020,0.024569999999999998,0.219,0.1202,0.039151266,0.08,188.0,7.94
HD 5278 c,Neptune-like,Radial Velocity,2021,After 2020,0.05796,0.401,0.2416,0.1119781,0.07,188.0,7.94
HD 5319 b,Gas Giant,Radial Velocity,2007,Before 2010,1.556,1.21,1.57,1.7,0.09,396.0,08.05
HD 5319 c,Gas Giant,Radial Velocity,2014,2010–2020,1.053,1.23,1.93,2.4,0.18,396.0,08.05
HD 55696 b,Gas Giant,Radial Velocity,2018,2010–2020,3.87,1.16,3.18,5.0,0.71,254.0,7.95
HD 5583 b,Gas Giant,Radial Velocity,2016,2010–2020,5.78,1.14,0.53,0.38165638,0.08,715.0,7.604
HD 5608 b,Gas Giant,Radial Velocity,2012,2010–2020,1.681,1.2,1.911,2.1,0.06,190.0,6.00272
HD 56414 b,Neptune-like,Transit,2022,After 2020,0.041895,0.331,0.229,0.07939767,0.68,888.0,9.217
HD 564 b,Gas Giant,Radial Velocity,2014,2010–2020,0.33,1.12,1.2,1.3478439,0.1,167.0,8.32
HD 56957 b,Gas Giant,Radial Velocity,2022,After 2020,5.95712,1.14,6.431189,16.1,0.27,201.0,7.57
HD 5891 b,Gas Giant,Radial Velocity,2011,2010–2020,7.63,1.13,0.64,0.48487338,0.07,925.0,08.09
HD 59686 A b,Gas Giant,Radial Velocity,2016,2010–2020,6.92,1.13,1.086,0.8197125,0.05,291.0,5.44299
HD 60292 b,Gas Giant,Radial Velocity,2020,2010–2020,6.5,1.13,1.5,1.3563312,0.27,1028.0,6.94657
HD 60532 b,Gas Giant,Radial Velocity,2008,Before 2010,01.06,1.23,0.77,0.55277205,0.26,85.0,4.44
HD 60532 c,Gas Giant,Radial Velocity,2008,Before 2010,2.51,1.18,1.6,1.6,0.03,85.0,4.44
HD 62364 b,Gas Giant,Radial Velocity,2022,After 2020,17.42688,01.09,18.992329,75.1,0.86,173.0,7.32
HD 62364 c,Gas Giant,Radial Velocity,2022,After 2020,24.80132,01.07,36.876427,205.0,0.77,173.0,7.32
HD 62509 b,Gas Giant,Radial Velocity,2006,Before 2010,2.3,1.19,1.64,1.6,0.02,34.0,1.12512
HD 62549 b,Gas Giant,Radial Velocity,2022,After 2020,8.72588,1.12,11.786592,39.2,0.15,161.0,7.72
HD 63433 b,Neptune-like,Transit,2020,2010–2020,0.016600499999999997,0.19178,0.0719,0.01943874,0.0,73.0,6.92035
HD 63433 c,Neptune-like,Transit,2020,2010–2020,0.0239715,0.238,0.1458,0.056125943,0.0,73.0,6.92035
HD 63454 b,Gas Giant,Radial Velocity,2005,Before 2010,0.25,1.098,0.04,0.007665982,0.0,123.0,9.37
HD 63765 b,Gas Giant,Radial Velocity,2009,Before 2010,0.53,1.27,0.94,0.9801506,0.24,106.0,8.1
HD 64114 b,Neptune-like,Radial Velocity,2019,2010–2020,0.05607,0.393,0.246,0.12539357,0.12,103.0,7.71
HD 64121 b,Gas Giant,Radial Velocity,2022,After 2020,2.56,1.18,1.51,1.7,0.11,424.0,7.43
HD 6434 b,Gas Giant,Radial Velocity,2003,Before 2010,0.49,1.27,0.14,0.060232718,0.17,138.0,7.72
HD 65216 b,Gas Giant,Radial Velocity,2003,Before 2010,1.295,1.22,1.301,1.6,0.27,115.0,7.97
HD 65216 c,Gas Giant,Radial Velocity,2013,2010–2020,02.03,1.19,5.75,14.7,0.17,115.0,7.97
HD 66141 b,Gas Giant,Radial Velocity,2012,2010–2020,6.0,1.14,1.2,1.3155373,0.07,222.0,4.37821
HD 66428 b,Gas Giant,Radial Velocity,2005,Before 2010,10.78131,1.11,3.39291,6.2,0.47,174.0,8.25
HD 66428 c,Gas Giant,Radial Velocity,2021,After 2020,2.4173,1.18,9.418207,28.7,0.21,174.0,8.25
HD 67087 b,Gas Giant,Radial Velocity,2015,2010–2020,03.06,1.17,01.08,0.96427107,0.17,250.0,08.05
HD 67087 c,Gas Giant,Radial Velocity,2015,2010–2020,4.85,1.15,3.86,6.5,0.76,250.0,08.05
HD 6718 b,Gas Giant,Radial Velocity,2009,Before 2010,1.68,1.2,3.55,6.8,0.1,167.0,8.45
HD 68402 b,Gas Giant,Radial Velocity,2016,2010–2020,03.07,1.17,2.18,3.0,0.03,256.0,9.11
HD 68988 b,Gas Giant,Radial Velocity,2001,Before 2010,1.97,1.2,0.07,0.017248461,0.12,198.0,8.2
HD 68988 c,Gas Giant,Radial Velocity,2021,After 2020,15.0,01.09,13.2,43.8,0.45,198.0,8.2
HD 69123 b,Gas Giant,Radial Velocity,2022,After 2020,03.04,1.17,2.482,3.3,0.19,245.0,5.77
HD 69830 b,Neptune-like,Radial Velocity,2006,Before 2010,0.03213,0.283,0.0785,0.023819301,0.1,41.0,5.96004
HD 69830 c,Neptune-like,Radial Velocity,2006,Before 2010,0.03717,0.309,0.186,0.08651608,0.13,41.0,5.96004
HD 69830 d,Neptune-like,Radial Velocity,2006,Before 2010,0.057015,0.397,0.63,0.5393566,0.07,41.0,5.96004
HD 70573 b,Gas Giant,Radial Velocity,2007,Before 2010,6.1,1.14,1.76,2.3,0.4,193.0,8.667
HD 70642 b,Gas Giant,Radial Velocity,2003,Before 2010,1.993,1.19,3.318,5.8,0.18,95.0,7.17
HD 7199 b,Gas Giant,Radial Velocity,2011,2010–2020,0.27,0.993,1.36,1.7,0.19,118.0,08.06
HD 72490 b,Gas Giant,Radial Velocity,2018,2010–2020,1.768,1.2,1.88,2.4,0.12,412.0,7.82
HD 72659 b,Gas Giant,Radial Velocity,2002,Before 2010,3.37143,1.17,4.689125,9.7,0.26,169.0,7.46
HD 72659 c,Gas Giant,Radial Velocity,2022,After 2020,18.71468,01.08,13.940621,49.9,0.09,169.0,7.46
HD 72892 b,Gas Giant,Radial Velocity,2016,2010–2020,5.46348,1.14,0.227825,0.107871324,0.42,227.0,8.83
HD 73267 b,Gas Giant,Radial Velocity,2008,Before 2010,4.17014,1.16,2.227469,3.4,0.26,164.0,8.9
HD 73267 c,Gas Giant,Radial Velocity,2022,After 2020,5.40071,1.14,12.621165,46.8,0.09,164.0,8.9
HD 73526 b,Gas Giant,Radial Velocity,2002,Before 2010,03.08,1.17,0.65,0.5155373,0.19,317.0,8.99
HD 73526 c,Gas Giant,Radial Velocity,2005,Before 2010,2.25,1.19,01.03,1.0379193,0.28,317.0,8.99
HD 73534 b,Gas Giant,Radial Velocity,2008,Before 2010,1.112,1.23,2.99,4.8,0.13,272.0,8.23
HD 73583 b,Neptune-like,Transit,2022,After 2020,0.03213,0.249,0.0604,0.017522246,0.09,103.0,9.67
HD 73583 c,Super Earth,Transit,2022,After 2020,0.030555,0.213,0.1242,0.051745377,0.08,103.0,9.67
HD 74156 b,Gas Giant,Radial Velocity,2003,Before 2010,1.67333,1.2,0.280148,0.1412731,0.64,188.0,7.61
HD 74156 c,Gas Giant,Radial Velocity,2003,Before 2010,9.10703,1.12,3.676463,6.7,0.38,188.0,7.61
HD 7449 b,Gas Giant,Radial Velocity,2011,2010–2020,8.34612,1.12,2.43855,3.5,0.75,126.0,7.5
HD 75289 b,Gas Giant,Radial Velocity,1999,Before 2010,0.49,1.27,0.05,0.009582478,0.03,95.0,6.35
HD 75784 b,Gas Giant,Radial Velocity,2014,2010–2020,1.0,1.23,1.032,0.93415475,0.1,279.0,7.84
HD 75784 c,Gas Giant,Radial Velocity,2018,2010–2020,5.64,1.14,8.4,21.6,0.49,279.0,7.84
HD 75898 b,Gas Giant,Radial Velocity,2007,Before 2010,2.71,1.18,1.191,1.157837,0.11,255.0,08.03
HD 76700 b,Gas Giant,Radial Velocity,2002,Before 2010,0.21,0.856,0.05,0.0109514035,0.09,199.0,8.16
HD 76920 b,Gas Giant,Radial Velocity,2017,2010–2020,3.93,1.16,1.149,1.1373032,0.86,600.0,7.83
HD 77338 b,Neptune-like,Radial Velocity,2012,2010–2020,0.050085000000000005,0.368,0.06,0.015605749,0.09,150.0,8.63
HD 79181 b,Gas Giant,Radial Velocity,2021,After 2020,0.64,1.26,0.9,0.74770707,0.26,337.0,5.72
HD 7924 b,Neptune-like,Radial Velocity,2008,Before 2010,0.020023290000000003,0.214,0.06,0.014784395,0.06,55.0,7.17896
HD 7924 c,Neptune-like,Radial Velocity,2015,2010–2020,0.024759,0.243,0.1134,0.041889116,0.1,55.0,7.17896
HD 7924 d,Neptune-like,Radial Velocity,2015,2010–2020,0.020286000000000002,0.216,0.1551,0.067077346,0.21,55.0,7.17896
HD 79498 b,Gas Giant,Radial Velocity,2011,2010–2020,1.34,1.22,2.98,5.0,0.58,160.0,08.05
HD 80606 b,Gas Giant,Radial Velocity,2001,Before 2010,4.38,01.07,0.4565,0.30499658,0.93,217.0,09.06
HD 80653 b,Super Earth,Transit,2020,2010–2020,0.01764,0.1438796,0.0166,0.0019164955,0.0,358.0,9.452
HD 80869 b,Gas Giant,Radial Velocity,2021,After 2020,5.65664,1.14,2.906141,4.8,0.92,279.0,8.48
HD 80883 b,Gas Giant,Radial Velocity,2022,After 2020,5.47697,1.14,6.497354,17.5,0.2,113.0,8.6
HD 80913 b,Gas Giant,Radial Velocity,2022,After 2020,23.50131,01.07,9.88693,29.7,0.31,200.0,7.49
HD 81040 b,Gas Giant,Radial Velocity,2005,Before 2010,6.83498,1.13,1.988479,2.8,0.56,112.0,7.72
HD 81688 b,Gas Giant,Radial Velocity,2007,Before 2010,2.7,1.18,0.81,0.50376457,0.0,280.0,5.39755
HD 81817 b,Gas Giant,Radial Velocity,2020,2010–2020,26.53603,01.07,3.233953,2.8,0.1,878.0,4.26489
HD 81817 c,Gas Giant,Radial Velocity,2022,After 2020,22.59251,01.07,2.324089,1.7,0.1,878.0,4.26489
HD 82886 b,Gas Giant,Radial Velocity,2011,2010–2020,2.33,1.19,1.58,1.9,0.07,414.0,7.62
HD 82943 b,Gas Giant,Radial Velocity,2003,Before 2010,1.681,1.2,1.18306,1.2087611,0.16,90.0,6.54993
HD 82943 c,Gas Giant,Radial Velocity,2003,Before 2010,1.959,1.2,0.74345,0.602601,0.37,90.0,6.54993
HD 8326 b,Gas Giant,Radial Velocity,2019,2010–2020,0.20955,0.855,0.533,0.43531826,0.2,100.0,8.76
HD 83443 b,Gas Giant,Radial Velocity,2002,Before 2010,0.402,1.25,0.0406,0.008213553,0.01,133.0,8.23
HD 83443 c,Gas Giant,Radial Velocity,2022,After 2020,1.5,1.21,8.0,22.6,0.76,133.0,8.23
HD 8535 b,Gas Giant,Radial Velocity,2010,2010–2020,0.68,1.25,2.45,3.6,0.15,181.0,7.7
HD 85390 b,Neptune-like,Radial Velocity,2009,Before 2010,0.0991152855,0.55,1.373,2.2,0.5,109.0,8.54
HD 85512 b,Super Earth,Radial Velocity,2011,2010–2020,0.011340000000000001,0.153424,0.26,0.15989049,0.11,37.0,7.67
HD 8574 b,Gas Giant,Radial Velocity,2002,Before 2010,02.03,1.19,0.76,0.62149215,0.3,146.0,7.12
HD 86065 b,Gas Giant,Radial Velocity,2022,After 2020,8.81576,1.12,16.10719,70.6,0.22,132.0,9.36
HD 86081 b,Gas Giant,Radial Velocity,2006,Before 2010,1.48,1.21,0.0346,0.0057494864,0.01,339.0,8.73
HD 86226 b,Gas Giant,Radial Velocity,2009,Before 2010,0.45,1.28,2.73,4.5,0.06,149.0,7.93
HD 86226 c,Super Earth,Transit,2020,2010–2020,0.0228375,0.192672,0.049,0.0109514035,0.08,149.0,7.93
HD 86264 b,Gas Giant,Radial Velocity,2009,Before 2010,12.81667,1.1,2.762119,4.1,0.82,221.0,7.41
HD 8673 b,Gas Giant,Radial Velocity,2009,Before 2010,13.40117,1.1,2.965265,4.5,0.73,124.0,6.331
HD 86950 b,Gas Giant,Radial Velocity,2016,2010–2020,3.6,1.16,2.72,3.5,0.17,684.0,7.47
HD 87646 b,Gas Giant,Radial Velocity,2016,2010–2020,12.4,1.1,0.117,0.036960986,0.05,240.0,08.07
HD 87883 b,Gas Giant,Radial Velocity,2009,Before 2010,5.36602,1.14,4.051612,9.1,0.71,60.0,7.56
HD 88072 b,Gas Giant,Radial Velocity,2022,After 2020,8.07325,1.12,13.912743,50.8,0.16,117.0,7.55
HD 88133 b,Gas Giant,Radial Velocity,2004,Before 2010,01.02,1.23,0.0479,0.009308693,0.03,240.0,8.01852
HD 89307 b,Gas Giant,Radial Velocity,2009,Before 2010,2.11,1.19,3.27,5.9,0.2,104.0,7.02569
HD 89345 b,Neptune-like,Transit,2018,2010–2020,0.11012809500000001,0.66,0.1066,0.03230664,0.22,432.0,9.38
HD 89744 b,Gas Giant,Radial Velocity,1999,Before 2010,8.35,1.12,0.917,0.70308006,0.68,126.0,5.73469
HD 90156 b,Neptune-like,Radial Velocity,2009,Before 2010,0.056637,0.395,0.25,0.13634497,0.31,72.0,6.92
HD 9174 b,Gas Giant,Radial Velocity,2016,2010–2020,1.11,1.23,2.2,3.2,0.12,266.0,8.4
HD 92788 b,Gas Giant,Radial Velocity,2000,Before 2010,3.76,1.16,0.97,0.89199173,0.35,113.0,7.31637
HD 92788 c,Gas Giant,Radial Velocity,2019,2010–2020,3.67,1.16,10.5,31.8,0.46,113.0,7.31637
